For Account:,####9879

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
03/04/20,Bought,MF,BMGAX,9.318,-250,26.83,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
03/04/20,Bought,MF,ROGSX,8.361,-250,29.9,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
03/04/20,Bought,MF,DXQLX,7.607,-250,32.8626,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
03/03/20,Transfer,UNKNOWN, ,0,1000,0,0,TRANSFER FROM XXXXXX2340      REFID:39203459482;
03/02/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:39034528482;
02/28/20,Dividend,MF,SVAAX,0.967,-5.02,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
02/28/20,Dividend,MF,SVAAX,0,5.02,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
02/24/20,Bought,MF,BMGAX,3.993,-110.21,27.6,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
02/24/20,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
02/24/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:38460937482;
02/21/20,Bought,MF,PRMTX,0.735,-100,136.04,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
02/21/20,Bought,MF,MFEGX,0.778,-100,128.53,0,MFS GROWTH A                  MFS                           
02/21/20,Bought,MF,BMGAX,3.519,-100,28.42,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
02/21/20,Bought,MF,FKDNX,1.029,-100,97.17,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
02/19/20,Bought,MF,MFEGX,7.613,-1000,131.36,0,MFS GROWTH A                  MFS                           
02/19/20,Bought,MF,FKDNX,10.011,-1000,99.89,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
02/19/20,Bought,MF,BMGAX,34.364,-1000,29.1,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
02/18/20,Bought,MF,ROGSX,30.404,-1000,32.89,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
02/18/20,Sold,MF,OBCHX,-238.196,3091.79,12.98,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
02/18/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:38091222482;
02/11/20,Direct Debit,UNKNOWN, ,0,-577.7,0,0,ACHDEBIT                      CHASE CREDIT CRD              
02/10/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37633643482;
02/03/20,Bought,MF,UOPIX,1.021,-100,97.99,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
02/03/20,Bought,MF,SMPIX,1.77,-100,56.51,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
02/03/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37189945482;
01/31/20,Dividend,MF,SVAAX,0.486,-2.74,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
01/31/20,Dividend,MF,SVAAX,0,2.74,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
01/27/20,Bought,MF,PRMTX,3.947,-500,126.68,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
01/27/20,Interest,EQ,#2145605,0,0.02,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
01/27/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36776408482;
01/23/20,Bought,MF,BGAFX,33.047,-1000,30.26,0,BARON GLOBAL ADVANTAGE RETAIL BARON CAPITAL GROUP           
01/23/20,Bought,MF,SMPIX,16.287,-1000,61.4,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
01/23/20,Bought,MF,UOPIX,9.982,-1000,100.18,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
01/23/20,Bought,MF,DXQLX,28.499,-1000,35.0888,0,DIREXION MTHLY NASDAQ-100 BULLDIREXION FUNDS                
01/22/20,Sold,EQ,EES,-30,1133.07,37.77,0,WISDOMTREE TRUST              WISDOMTREE U S SMALLCAP FUND
01/22/20,Sold,MF,OBCHX,-96.306,1248.12,12.96,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
01/22/20,Bought,MF,PRMTX,3.86,-500,129.52,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
01/21/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36441960482;
01/17/20,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - OAKBX
01/15/20,Sold,MF,OAKBX,-66.947,1976.28,29.52,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
01/13/20,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:36007056482;
01/13/20,Direct Debit,UNKNOWN, ,0,-537.1,0,0,ACHDEBIT                      CHASE CREDIT CRD              
01/07/20,Dividend,MF,AMANX,0,24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
01/07/20,Dividend,MF,AMAGX,0,13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
01/07/20,Dividend,MF,AMANX,0.465,-24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
01/07/20,Dividend,MF,AMANX,0.046,-2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
01/07/20,Dividend,MF,AMAGX,0.305,-13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
01/07/20,Dividend,MF,AMANX,0,2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
01/06/20,Dividend,MF,AMANX,0,-24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
01/06/20,Dividend,MF,AMAGX,0,-13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
